city,county,zip,slug,lat,lng,nearby_cities,permit_office,permit_phone,permit_website,neighborhoods,city_note
Claremont,Los Angeles,91711,claremont,34.0967,-117.7198,"La Verne, Pomona, Montclair",City of Claremont Building & Safety,(909) 399-5137,ci.claremont.ca.us/building,"Claremont Village, North Claremont, The Colleges area, South Claremont",Claremont is home to the Claremont Colleges consortium. The city has a strong historic preservation culture for its old village area. Residential demolitions in standard neighborhoods proceed normally. Properties near the colleges may have special design review requirements.
Pico Rivera,Los Angeles,90660,pico-rivera,33.9828,-118.0967,"Whittier, Downey, Montebello",City of Pico Rivera Building & Safety,(562) 801-4472,pico-rivera.org/building,"North Pico Rivera, South Pico Rivera, Durfee Ave area, Gallatin Road Corridor",Pico Rivera is an older working-class city in southeast LA County. The housing stock is primarily 1950s-1970s. Pool removals and interior demolitions are frequently requested. The city processes permits at the civic center on Rosemead Blvd.
Montebello,Los Angeles,90640,montebello,34.0114,-118.1133,"Pico Rivera, Rosemead, El Monte",City of Montebello Building & Safety,(323) 887-1285,cityofmontebello.com/building,"Montebello Hills, East Montebello, North Montebello, Industrial area",Montebello has hillside residential areas and flat industrial zones. Hillside properties require grading permits for demolition work. The city has older housing stock from the 1940s-1970s with asbestos potential in older structures. Located near the 605 and 60 freeways.
Rosemead,Los Angeles,91770,rosemead,34.0800,-118.0728,"El Monte, Montebello, Temple City",City of Rosemead Building & Safety,(626) 569-2140,cityofrosemead.org/building,"Downtown Rosemead, Valley Blvd Corridor, Garvey area, San Gabriel border",Rosemead is a dense San Gabriel Valley city. Many older residential properties have aging detached structures and pools. The city has a standard permit process. Valley Boulevard commercial properties occasionally undergo interior demolition for restaurant and retail conversion.
Temple City,Los Angeles,91780,temple-city,34.1003,-118.0578,"Arcadia, Rosemead, El Monte",City of Temple City Building & Safety,(626) 285-2171,templecity.us/building,"Las Tunas Village, Temple City Park area, Arcadia border, Rosemead border",Temple City is a small residential city known for its orchid show and tree-lined streets. Many properties have large lots with aging pools and detached garages. The city has a streamlined permit process for standard residential projects.
Bell Gardens,Los Angeles,90201,bell-gardens,33.9658,-118.1517,"Downey, South Gate, Huntington Park",City of Bell Gardens Building & Safety,(562) 806-7700,bellgardens.org/building,"Downtown Bell Gardens, Florence Ave Corridor, Eastern Bell Gardens, Garfield Ave area","Bell Gardens is a small, dense residential city in southeast LA County. The housing stock is older and the city has a working-class character. Pre-demo asbestos surveys are strongly recommended for pre-1980 structures. Approximately 25-30 minutes from C&S's Long Beach base."
South Gate,Los Angeles,90280,south-gate,33.9547,-118.2128,"Compton, Lynwood, Huntington Park",City of South Gate Building & Safety,(323) 563-9500,cityofsouthgate.org/building,"South Gate Park, Gateway to LA area, Hollydale, North South Gate",South Gate is an older industrial and residential city. Many properties are undergoing renovation with demolition as the first step. Pre-1980 structures require asbestos testing. The city has an efficient permit department and is located approximately 25 minutes from C&S's Long Beach base.
Lynwood,Los Angeles,90262,lynwood,33.9303,-118.2114,"Compton, South Gate, Inglewood",City of Lynwood Building & Safety,(310) 603-0220,lynwoodca.gov/building,"Downtown Lynwood, Atlantic Ave Corridor, East Lynwood, Long Beach border",Lynwood is an older city with a mix of residential and industrial. The city has many pre-1978 structures requiring lead paint and asbestos surveys before demolition. Lynwood's building department processes standard residential permits. Located approximately 20-25 minutes from Long Beach.
Gardena,Los Angeles,90247,gardena,33.8883,-118.3089,"Torrance, Carson, Hawthorne",City of Gardena Building & Safety,(310) 217-9530,cityofgardena.org/building,"Downtown Gardena, North Gardena, Western Gardena, Vermont Knolls border",Gardena is a dense South Bay city with older commercial development. The city has a significant Japanese-American community and older residential structures from the 1940s-60s. Many homes have aging pools and structures. Gardena's building department is experienced with residential demolition permits.
Lawndale,Los Angeles,90260,lawndale,33.8872,-118.3528,"Hawthorne, Redondo Beach, Gardena",City of Lawndale Building & Safety,(310) 973-3200,lawndalecity.org/building,"Downtown Lawndale, El Camino Village, North Lawndale, Hawthorne border",Lawndale is a small South Bay city with older residential properties. Many homes were built in the 1950s-1960s. Pool removals and interior demolitions are common as homeowners update older properties. The city has a small building department with efficient permit processing.
Redondo Beach,Los Angeles,90277,redondo-beach,33.8492,-118.3884,"Torrance, Hermosa Beach, Lawndale",City of Redondo Beach Building & Safety,(310) 318-0660,redondo.org/building,"North Redondo, South Redondo, Riviera Village, King Harbor area",Redondo Beach is a coastal South Bay city with strong real estate activity. Teardown-rebuild projects are common as homeowners replace older homes with modern construction. The city has strict coastal zone rules for properties near the ocean. King Harbor area properties may require additional harbor-adjacent review.
Hermosa Beach,Los Angeles,90254,hermosa-beach,33.8622,-118.3995,"Redondo Beach, Manhattan Beach, Gardena",City of Hermosa Beach Building & Safety,(310) 318-0215,hermosabeach.gov/building,"Downtown Hermosa Beach, Hermosa Valley, South Hermosa, Sand Section","Hermosa Beach is a small, premium coastal city. Teardown-rebuild projects are very common due to high land values. The city has a fast-track review process for demolition permits to support its active construction market. Sand Section properties near the beach require additional Coastal Commission review."
Manhattan Beach,Los Angeles,90266,manhattan-beach,33.8847,-118.4109,"Hermosa Beach, El Segundo, Hawthorne",City of Manhattan Beach Building & Safety,(310) 802-5500,manhattanbeach.gov/building,"Sand Section, Tree Section, Hill Section, Manhattan Village",Manhattan Beach is one of LA's most expensive coastal cities. Teardown-rebuild projects are extremely common as buyers demolish older homes to build modern custom residences. The city has an efficient permit process to support its high volume of demo-rebuild projects. Full demolitions in all neighborhoods are common.
El Segundo,Los Angeles,90245,el-segundo,33.9192,-118.4164,"Manhattan Beach, Hawthorne, Inglewood",City of El Segundo Building & Safety,(310) 524-2380,elsegundo.org/building,"Downtown El Segundo, Standard Oil area, Imperial Ave Corridor, Smoky Hollow","El Segundo is near LAX with a mix of industrial, commercial, and residential. The city's Smoky Hollow area has older light industrial buildings undergoing tenant improvement demolition. Residential neighborhoods have 1950s-1960s housing. The city is efficient with permits."
Culver City,Los Angeles,90230,culver-city,34.0211,-118.3964,"Los Angeles, Inglewood, Santa Monica",Culver City Planning & Development,(310) 253-5700,culvercity.org/building,"Downtown Culver City, Helms Bakery District, Jefferson Blvd Corridor, Fox Hills",Culver City is a tech and entertainment hub undergoing rapid commercial development. Interior tenant improvement demolitions are common in commercial buildings. Residential demolitions in the city's historic neighborhoods may require design review. Strong permit department with online submission.
Santa Monica,Los Angeles,90401,santa-monica,34.0195,-118.4912,"Culver City, Los Angeles, Malibu",City of Santa Monica Building & Safety,(310) 458-8355,santamonica.gov/building,"Downtown Santa Monica, Ocean Park, Sunset Park, Mid-City, Montana Avenue",Santa Monica has high land values and a significant teardown-rebuild market. The city has strong environmental regulations including soil testing requirements for properties near former industrial sites. Coastal Commission review is required for properties within the coastal zone. Permit processing is thorough.
Malibu,Los Angeles,90265,malibu,34.0259,-118.7798,"Santa Monica, Calabasas, Agoura Hills",City of Malibu Building & Safety,(310) 456-2489,malibucity.org/building,"Malibu Colony, Point Dume, Latigo Canyon, Pacific Coast Highway Corridor","Malibu is in a very high fire hazard severity zone and coastal zone. All demolition projects require fire department clearance, and many require California Coastal Commission approval. The city has strict building codes due to fire risk. Projects often have extended permit timelines due to coastal and fire review requirements."
Calabasas,Los Angeles,91302,calabasas,34.1369,-118.6439,"Malibu, Agoura Hills, Thousand Oaks",City of Calabasas Building & Safety,(818) 878-4225,cityofcalabasas.com/building,"Old Town Calabasas, The Commons, Calabasas Park Estates, Parkway Calabasas",Calabasas is a wealthy enclave in the western San Fernando Valley. The city has active HOA communities and a historic Old Town district. Properties in Las Virgenes watershed area may require environmental review. High-value properties are common teardown-rebuild candidates.
Agoura Hills,Los Angeles,91301,agoura-hills,34.1536,-118.7606,"Calabasas, Thousand Oaks, Westlake Village",City of Agoura Hills Building & Safety,(818) 597-7300,agourahillscity.org/building,"Agoura, Lakeside Village, Cornell, Chesebrough",Agoura Hills is a foothills community in the western San Fernando Valley. The city borders the Santa Monica Mountains and is in a moderate to high fire hazard severity zone. Hillside properties require grading permits. The city processes permits at City Hall on Agoura Road.
Westlake Village,Los Angeles,91361,westlake-village,34.1414,-118.8192,"Agoura Hills, Calabasas, Thousand Oaks",City of Westlake Village Building & Safety,(818) 706-1613,wlv.org/building,"Westlake Village Lake area, North Ranch, Lakeview Canyon, Westlake Island","Westlake Village is a small, upscale community around an artificial lake. HOA rules are strong in most neighborhoods. Lakeshore properties have additional review requirements. The city is approximately 40-45 minutes from Long Beach. Many properties have aging pools and docks from the 1970s-1980s."
Beverly Hills,Los Angeles,90210,beverly-hills,34.0736,-118.4004,"West Hollywood, Santa Monica, Culver City",City of Beverly Hills Building & Safety,(310) 285-1141,beverlyhills.org/building,"Trousdale Estates, Flats, Beverly Crest, Golden Triangle",Beverly Hills is one of LA's most prestigious municipalities with meticulous permit requirements. Teardown-rebuild projects are extremely common as buyers demolish aging mid-century homes. The city has stringent noise ordinance enforcement and requires extensive neighborhood notification before major demolitions.
Palmdale,Los Angeles,93550,palmdale,34.5794,-118.1165,"Lancaster, Santa Clarita, Quartz Hill",City of Palmdale Building & Safety,(661) 267-5200,cityofpalmdale.org/building,"Desert Aire, Anaverde, West Palmdale, Sun Village, Quartz Hill border",Palmdale is a High Desert city about 60-70 minutes from C&S's Long Beach base. The city's rapid growth has produced a mix of older and newer residential properties. Desert soil conditions affect foundation demolitions. C&S serves Palmdale but response times are longer than South Bay and OC coverage areas.
Lancaster,Los Angeles,93534,lancaster,34.6868,-118.1542,"Palmdale, Quartz Hill, Mojave",City of Lancaster Building & Safety,(661) 723-6100,cityoflancasterca.org/building,"Downtown Lancaster, Quartz Hill, West Lancaster, East Lancaster","Lancaster is in the Antelope Valley, approximately 65-70 minutes from Long Beach. The city has been growing with new residential developments. Desert climate affects material weathering. C&S serves Lancaster but projects should account for additional drive time in mobilization costs."
Santa Clarita,Los Angeles,91350,santa-clarita,34.3917,-118.5426,"Valencia, Saugus, Newhall",City of Santa Clarita Building & Safety,(661) 255-4330,santa-clarita.com/building,"Valencia, Newhall, Saugus, Canyon Country, Stevenson Ranch",Santa Clarita is approximately 45-50 minutes from Long Beach. The city is fast-growing with newer residential developments in Valencia and Canyon Country. Many older areas in Newhall and Saugus have aging structures. Hillside properties in the area require grading permits.
Pacific Palisades,Los Angeles,90272,pacific-palisades,34.0452,-118.5261,"Santa Monica, Malibu, Brentwood",LA City Building & Safety (LADBS),(213) 482-0000,ladbs.org,"Palisades Village, Castellammare, Riviera, Huntington Palisades",Pacific Palisades is an affluent coastal neighborhood of Los Angeles. Teardown-rebuild projects are common at premium price points. The neighborhood is in a high fire hazard severity zone — fire department clearance required for hillside demolitions. LADBS processes permits for all Palisades properties.
Thousand Oaks LA,Los Angeles,91360,thousand-oaks-la,34.1706,-118.8376,"Westlake Village, Calabasas, Agoura Hills",Ventura County Resource Management Agency,(805) 654-2488,vcrma.org/divisions/building-and-safety,"Westlake area, North Ranch, Newbury Park, Conejo Valley","Note: Most of 'Thousand Oaks' is actually in Ventura County, not LA County. The boundary area near Westlake Village borders LA County. Confirm your permit jurisdiction (Ventura County vs LA County) before applying. C&S Demolition handles both county jurisdictions in this area."
Riverside,Riverside,92501,riverside,33.9533,-117.3961,"Corona, Moreno Valley, Jurupa Valley",City of Riverside Building & Safety,(951) 826-5697,riversideca.gov/permits,"Downtown Riverside, Eastside, University District, Canyon Crest, Alessandro Heights",Riverside is approximately 55-60 minutes from C&S's Long Beach base. The city has older downtown properties and newer suburban development. Canyon Crest and Alessandro Heights have hillside properties. Pool removals are common in older established neighborhoods. C&S serves Riverside with advance scheduling.
Corona,Riverside,92879,corona,33.8753,-117.5664,"Riverside, Norco, Eastvale",City of Corona Building & Safety,(951) 736-2272,ci.corona.ca.us/building,"Downtown Corona, Eagle Glen, Corona Hills, Dos Lagos, North Corona",Corona is approximately 45-50 minutes from Long Beach. The city has a mix of older and newer residential development. Eagle Glen and Dos Lagos are planned communities with HOA oversight. Many 1980s-1990s properties have aging pools. C&S serves Corona on a regular basis.
Moreno Valley,Riverside,92553,moreno-valley,33.9425,-117.2297,"Riverside, Perris, Hemet",City of Moreno Valley Building & Safety,(951) 413-3350,morenovalleyca.gov/building,"Towngate, Alessandro, Edgemont, Moreno Valley Ranch",Moreno Valley is approximately 55-60 minutes from Long Beach. The city has predominantly 1980s-1990s tract housing. Pool removals are common in the city's many planned communities. C&S serves Moreno Valley for larger projects and scheduled demolition work.
Temecula,Riverside,92590,temecula,33.4936,-117.1484,"Murrieta, Menifee, Lake Elsinore",City of Temecula Building & Safety,(951) 694-6400,temeculaca.gov/permits,"Old Town Temecula, Redhawk, Harveston, Paloma del Sol",Temecula is approximately 75-80 minutes from Long Beach. The city has wine country character and active residential development. Old Town has historic properties with potential lead paint. Redhawk and Harveston are HOA-governed planned communities. C&S serves Temecula for larger projects.
Murrieta,Riverside,92562,murrieta,33.5539,-117.2139,"Temecula, Menifee, Lake Elsinore",City of Murrieta Building & Safety,(951) 304-2489,cityofmurrieta.org/permits,"Central Murrieta, Murrieta Hot Springs, French Valley, Copper Canyon",Murrieta is approximately 75-80 minutes from Long Beach. The city is one of the fastest-growing in Riverside County. Most housing is 1990s-2000s construction. Murrieta Hot Springs is a resort community with unique HOA requirements. C&S serves Murrieta for scheduled projects.
Menifee,Riverside,92584,menifee,33.6971,-117.1850,"Temecula, Murrieta, Hemet",City of Menifee Building & Safety,(951) 723-3700,cityofmenifee.us/building,"Sun City, Romoland, Quail Valley, Murrieta border",Menifee is a relatively new city (incorporated 2008) with rapid residential growth. Sun City is an older planned community with its own character. Many properties have pools installed in the 1970s-1980s. C&S serves Menifee for scheduled demolition projects.
Lake Elsinore,Riverside,92530,lake-elsinore,33.6681,-117.3278,"Murrieta, Wildomar, Canyon Lake",City of Lake Elsinore Building & Safety,(951) 674-3124,lake-elsinore.org/building,"Downtown Lake Elsinore, Canyon Lake border, Tuscany Hills, Alberhill",Lake Elsinore is approximately 65-70 minutes from Long Beach. The city has lakeside properties and hillside communities. Tuscany Hills is an HOA-governed community. Properties near the lake may have additional floodplain review requirements. C&S serves Lake Elsinore for scheduled projects.
Perris,Riverside,92570,perris,33.7825,-117.2286,"Moreno Valley, Menifee, Hemet",City of Perris Building & Safety,(951) 943-6100,cityofperris.org/building,"Downtown Perris, Nuevo, Good Hope, Perris Hill area",Perris is approximately 60 minutes from Long Beach. The city has older industrial areas and newer residential development. Standard residential demolitions proceed through the building department. C&S serves Perris for scheduled projects.
Hemet,Riverside,92543,hemet,33.7475,-116.9719,"Perris, Moreno Valley, San Jacinto",City of Hemet Building & Safety,(951) 765-2301,cityofhemet.org/building,"Downtown Hemet, West Hemet, East Hemet, Seven Hills",Hemet is approximately 70-75 minutes from Long Beach. The city has an older downtown core and many retirement communities. Many older properties have aging pools and structures. C&S serves Hemet for scheduled larger-scale projects.
Jurupa Valley,Riverside,91752,jurupa-valley,33.9972,-117.4858,"Riverside, Corona, Eastvale",City of Jurupa Valley Building & Safety,(951) 332-6464,jurupavalley.org/building,"Rubidoux, Glen Avon, Pedley, Mira Loma",Jurupa Valley is approximately 50-55 minutes from Long Beach. The city incorporated in 2011 from previously unincorporated areas. Many properties are older and may have been built without modern code compliance. C&S serves Jurupa Valley for scheduled demolition projects.
Eastvale,Riverside,91752,eastvale,33.9631,-117.5814,"Jurupa Valley, Corona, Ontario",City of Eastvale Building & Safety,(951) 703-4413,eastvaleca.gov/building,"Eastvale Gateway, South Eastvale, East Eastvale, Horsethief Canyon area",Eastvale is a new city (incorporated 2010) with predominantly 2000s-era suburban housing. Most homes are newer construction with lower asbestos risk. HOA communities are common. C&S serves Eastvale for demolition projects on request.
Norco,Riverside,92860,norco,33.9311,-117.5514,"Corona, Eastvale, Jurupa Valley",City of Norco Building & Safety,(951) 270-5640,norco.ca.us/building,"Downtown Norco, Hidden Valley, West Norco, Norco Hills","Norco is known as 'Horsetown USA' with equestrian properties and rural character. Many properties have horse facilities, outbuildings, and older structures ready for demolition. Grading permits are common for lot work. C&S serves Norco for agricultural and residential demolition projects."
Beaumont,Riverside,92223,beaumont,33.9294,-116.9772,"Banning, Yucaipa, Calimesa",City of Beaumont Building & Safety,(951) 572-3229,beaumontca.gov/building,"Four Seasons (55+), Oak Valley Greens, Sundance, Solera area",Beaumont is approximately 70 minutes from Long Beach. The city has significant senior and active adult community development alongside standard residential. Four Seasons is a large 55+ community. C&S serves Beaumont for scheduled projects.
Banning,Riverside,92220,banning,33.9253,-116.8764,"Beaumont, Palm Springs, Hemet",City of Banning Building & Safety,(951) 922-3130,ci.banning.ca.us/building,"Downtown Banning, Highland Springs, San Gorgonio Pass area","Banning is in the San Gorgonio Pass, approximately 75 minutes from Long Beach. The city has older commercial and residential properties. Strong winds in the pass area affect project planning. C&S serves Banning for scheduled larger demolition projects."
San Jacinto,Riverside,92583,san-jacinto,33.7836,-116.9589,"Hemet, Beaumont, Perris",City of San Jacinto Building & Safety,(951) 654-4904,ci.san-jacinto.ca.us/building,"Downtown San Jacinto, Valle Vista, Mountain View, San Jacinto Valley",San Jacinto is approximately 70-75 minutes from Long Beach. The city has older residential properties and a rural character. Many properties have horse facilities and aging outbuildings. C&S serves San Jacinto for scheduled demolition projects.
Wildomar,Riverside,92595,wildomar,33.5989,-117.2797,"Lake Elsinore, Murrieta, Temecula",City of Wildomar Building & Safety,(951) 677-7751,wildomar.org/building,"Central Wildomar, Palomar Hills, Weston Hills, Copper Canyon",Wildomar is a newer city (incorporated 2008) with a mix of residential development and rural areas. The city borders Murrieta to the south. C&S serves Wildomar for scheduled demolition projects in the southwest Riverside County area.
Mira Loma,Riverside,91752,mira-loma,33.9947,-117.5181,"Jurupa Valley, Ontario, Corona",Riverside County Building & Safety,(951) 955-3200,rctlma.org/bldg,"Central Mira Loma, Bellegrave, Jurupa Valley border",Mira Loma is an unincorporated community within Riverside County (part of Jurupa Valley). Permits are handled through Riverside County or Jurupa Valley Building & Safety. C&S serves this area for scheduled demolition projects.
Desert Hot Springs,Riverside,92240,desert-hot-springs,33.9611,-116.5017,"Palm Springs, Cathedral City, Coachella",City of Desert Hot Springs Building & Safety,(760) 329-6411,cityofdhs.org/building,"Downtown DHS, Mission Springs, Two Bunch Palms, Hacienda Heights","Desert Hot Springs is in the Coachella Valley, approximately 100+ miles from Long Beach. The city is known for its hot springs and has older commercial properties alongside residential. C&S serves the Coachella Valley area for major projects with advance scheduling."
Palm Desert,Riverside,92260,palm-desert,33.7220,-116.3742,"Palm Springs, Rancho Mirage, Indian Wells",City of Palm Desert Building & Safety,(760) 776-6420,cityofpalmdesert.org/permits,"El Paseo shopping district, Indian Ridge, Ironwood Country Club, Palm Desert Country Club","Palm Desert is in the Coachella Valley, approximately 115+ miles from Long Beach. The city has luxury residential properties and active commercial areas. C&S serves the Palm Desert area for major scheduled demolition projects with advance coordination."
Rancho Mirage,Riverside,92270,rancho-mirage,33.7395,-116.4168,"Palm Desert, Cathedral City, Palm Springs",City of Rancho Mirage Building & Safety,(760) 328-2266,ranchomirageca.gov/building,"Mission Hills Country Club, Tamarisk Country Club, Thunderbird Heights, Magnesia Falls",Rancho Mirage is a luxury Coachella Valley community approximately 115 miles from Long Beach. The city has high-end residential and resort properties. C&S serves Rancho Mirage for major scheduled demolition projects with advance planning.
Ontario,San Bernardino,91761,ontario,34.0633,-117.6509,"Rancho Cucamonga, Pomona, Fontana",City of Ontario Building & Safety,(909) 395-2036,ontarioca.gov/permits,"Downtown Ontario, Ontario Ranch, Creekside, New Model Colony",Ontario is approximately 45-50 minutes from Long Beach via the 60 or 10 freeway. The city has significant industrial development near the airport and residential growth in Ontario Ranch. New Model Colony is a large master-planned community. C&S serves Ontario regularly for demolition projects.
Rancho Cucamonga,San Bernardino,91730,rancho-cucamonga,34.1064,-117.5931,"Ontario, Fontana, Upland",City of Rancho Cucamonga Building & Safety,(909) 477-2710,cityofrc.us/building,"Etiwanda, Alta Loma, Cucamonga, Victoria Gardens area",Rancho Cucamonga is approximately 50-55 minutes from Long Beach. The city has older Etiwanda and Alta Loma areas alongside newer development near Victoria Gardens. Many 1970s-1980s properties have aging pools and detached structures. HOA communities are common throughout RC.
Fontana,San Bernardino,92335,fontana,34.0922,-117.4350,"Rancho Cucamonga, Rialto, Ontario",City of Fontana Building & Safety,(909) 350-7610,fontana.org/building,"North Fontana, South Fontana, Arrow Route Corridor, Sierra Lakes",Fontana is approximately 50-55 minutes from Long Beach. The city has a mix of industrial and residential. Many older homes from the 1960s-1980s have aging infrastructure. Sierra Lakes is a newer planned community. C&S serves Fontana for demolition projects throughout the city.
San Bernardino,San Bernardino,92401,san-bernardino,34.1083,-117.2898,"Rialto, Highland, Colton",City of San Bernardino Building & Safety,(909) 384-5071,sbcity.org/permits,"Downtown San Bernardino, Arrowhead Springs, Verdemont, Del Rosa",San Bernardino is approximately 60-65 minutes from Long Beach. The city has an older downtown core undergoing revitalization and suburban residential areas. Many pre-1978 structures require asbestos and lead surveys. Verdemont is a hillside neighborhood with grading requirements. C&S serves SB for scheduled projects.
Rialto,San Bernardino,92376,rialto,34.1064,-117.3703,"San Bernardino, Fontana, Colton",City of Rialto Building & Safety,(909) 820-2640,rialtoca.gov/building,"Downtown Rialto, Ayala Park area, North Rialto, Riverside Ave Corridor",Rialto is approximately 55 minutes from Long Beach. The city has older residential areas and significant industrial/logistics development. Standard residential demolitions proceed through the building department. Many 1960s-1970s homes have aging structures and pools. C&S serves Rialto for scheduled projects.
Colton,San Bernardino,92324,colton,34.0739,-117.3136,"San Bernardino, Rialto, Loma Linda",City of Colton Building & Safety,(909) 370-5079,ci.colton.ca.us/building,"Downtown Colton, Valle Lindo, South Colton, North Colton",Colton is approximately 60 minutes from Long Beach. The city has older residential and commercial properties. Many homes along the older established streets date to the 1950s-1970s. C&S serves Colton for scheduled demolition projects.
Highland,San Bernardino,92346,highland,34.1283,-117.2086,"San Bernardino, Redlands, Mentone",City of Highland Building & Safety,(909) 864-6861,ci.highland.ca.us/building,"Downtown Highland, North Highland, Fifth Street Corridor, Mountain area",Highland is approximately 65 minutes from Long Beach. The city borders San Bernardino and has a mix of residential and light commercial. Many homes are older construction. C&S serves Highland for scheduled demolition projects in the San Bernardino Valley.
Redlands,San Bernardino,92373,redlands,34.0556,-117.1825,"Highland, Loma Linda, Yucaipa",City of Redlands Building & Safety,(909) 798-7538,cityofredlands.org/building,"Downtown Redlands, Crafton Hills, Smiley Heights, Redlands Mall area",Redlands is approximately 65-70 minutes from Long Beach. The city has a charming historic downtown with Victorian architecture and orange grove heritage. Historic properties require special review. The city has older residential neighborhoods with potential asbestos in older structures.
Upland,San Bernardino,91786,upland,34.0975,-117.6483,"Rancho Cucamonga, Montclair, Ontario",City of Upland Building & Safety,(909) 931-4146,ci.upland.ca.us/building,"North Upland, Downtown Upland, Colonies Crossroads area, South Upland",Upland is approximately 50 minutes from Long Beach. The city has a historic downtown and newer development near Colonies Crossroads. Many properties have hillside exposures with mountain views. Standard residential demolitions proceed normally. Upland's downtown has older commercial properties.
Montclair,San Bernardino,91763,montclair,34.0778,-117.6897,"Upland, Ontario, Pomona",City of Montclair Building & Safety,(909) 625-9491,cityofmontclair.org/building,"Downtown Montclair, Central Montclair, Freeway Corridor, Moreno area",Montclair is approximately 45-50 minutes from Long Beach. The city has dense residential development and commercial centers. Many 1950s-1970s homes have aging structures. The city's building department is at City Hall. C&S serves Montclair for demolition projects.
Chino,San Bernardino,91710,chino,34.0122,-117.6889,"Chino Hills, Ontario, Montclair",City of Chino Building & Safety,(909) 334-3210,cityofchino.org/building,"Downtown Chino, Preserve, Central Chino, Chino Airport area",Chino is approximately 45-50 minutes from Long Beach. The Preserve is a newer master-planned community. Many older homes near downtown have aging infrastructure. Former dairy land is being converted to residential in parts of the city. C&S serves Chino for demolition projects.
Chino Hills,San Bernardino,91709,chino-hills,33.9939,-117.7258,"Chino, Diamond Bar, Pomona",City of Chino Hills Building & Safety,(909) 364-2740,chinohills.org/building,"Chino Hills Village, Carbon Canyon, Rolling Ridge, Butterfield Ranch",Chino Hills is approximately 45 minutes from Long Beach. The city is predominantly residential with hillside terrain requiring grading permits for many projects. Butterfield Ranch and Rolling Ridge are established planned communities. Properties on slopes need special permits. HOA communities throughout.
Victorville,San Bernardino,92392,victorville,34.5362,-117.2928,"Hesperia, Apple Valley, Adelanto",City of Victorville Building & Safety,(760) 955-5025,victorvilleca.gov/building,"Old Town Victorville, Spring Valley Lake, Bear Valley Road Corridor, Jess Ranch","Victorville is in the High Desert, approximately 80-90 minutes from Long Beach. The city has older downtown properties and newer master-planned communities. Desert conditions affect demolition planning. Spring Valley Lake is a lakefront HOA community. C&S serves Victorville for major scheduled projects."
Hesperia,San Bernardino,92345,hesperia,34.4264,-117.3009,"Victorville, Apple Valley, Adelanto",City of Hesperia Building & Safety,(760) 947-1613,cityofhesperia.us/building,"Hesperia Valley, Lime Street area, Hesperia Road Corridor, Summit Valley",Hesperia is in the High Desert approximately 80+ miles from Long Beach. The city has experienced rapid growth with newer residential development. Desert soil requires specific demolition considerations. C&S serves Hesperia for major scheduled projects.
Apple Valley,San Bernardino,92307,apple-valley,34.5008,-117.1858,"Victorville, Hesperia, Adelanto",Town of Apple Valley Building & Safety,(760) 240-7000,applevalley.org/building,"Apple Valley Village, Sitting Bull area, Yucca Loma, Happy Trails area",Apple Valley is a High Desert community approximately 85-90 miles from Long Beach. The town has large lot residential properties with rural character. Many properties have older outbuildings and structures. C&S serves Apple Valley for major scheduled demolition projects.
Yucaipa,San Bernardino,92399,yucaipa,34.0336,-117.0431,"Redlands, Calimesa, Beaumont",City of Yucaipa Building & Safety,(909) 797-2489,yucaipa.org/building,"Downtown Yucaipa, Chapman Heights, Wildwood Canyon, Calimesa border",Yucaipa is approximately 70 minutes from Long Beach. The city has a rural foothill character with horse properties and older residential. Chapman Heights is a newer master-planned community. C&S serves Yucaipa for scheduled demolition projects.
Loma Linda,San Bernardino,92354,loma-linda,34.0483,-117.2614,"Redlands, Colton, San Bernardino",City of Loma Linda Building & Safety,(909) 799-2840,lomalinda.ca.us/building,"Downtown Loma Linda, Bryn Mawr, Del Rosa, Mountain View",Loma Linda is home to Loma Linda University and Medical Center. The city has a health-focused community with active development around the medical campus. Standard residential demolitions proceed through the building department. Approximately 60-65 minutes from Long Beach.
